date,s_af,r_cfs,i_cfs
2017-02-17,425212,NA,9336
2017-02-18,429596,NA,11353
2017-02-19,428276,NA,8982
2017-02-20,435777,NA,12767
2017-02-21,449266,NA,16694
2017-02-22,454694,NA,12944
2017-02-23,453290,NA,9680
2017-02-24,449131,NA,8354
2017-02-25,443610,NA,7682
2017-02-26,436663,NA,6935
2017-02-27,429156,NA,6689
2017-02-28,421159,NA,6443
2017-03-01,411839,NA,5738
2017-03-02,402770,NA,5944
2017-03-03,392904,NA,5786
2017-03-04,382994,NA,5779
2017-03-05,373395,NA,5942
2017-03-06,363310,NA,5756
2017-03-07,352446,NA,5390
2017-03-08,342318,NA,5742
2017-03-09,331194,NA,5265
2017-03-10,319736,NA,4982
2017-03-11,308783,NA,5158
2017-03-12,297504,NA,5048
2017-03-13,286236,NA,5260
2017-03-14,274344,NA,5158
2017-03-15,261714,NA,4869
2017-03-16,253151,NA,6409
2017-03-17,248137,NA,7728
2017-03-18,243140,NA,7576
2017-03-19,239081,NA,8016
2017-03-20,233698,NA,7392
2017-03-21,229004,NA,7820
2017-03-22,227540,NA,9496
2017-03-23,221513,NA,7299
2017-03-24,213946,NA,6083
2017-03-25,209092,NA,6066
2017-03-26,206675,NA,6373
2017-03-27,204277,NA,5635
2017-03-28,202860,NA,5429
2017-03-29,201332,NA,5053
2017-03-30,201135,NA,5256
2017-03-31,204248,NA,6137
2017-04-01,207652,NA,6045
2017-04-02,209121,NA,5231
2017-04-03,211235,NA,5914
2017-04-04,215264,NA,7167
2017-04-05,219727,NA,7394
2017-04-06,224004,NA,7488
2017-04-07,231483,NA,9839
2017-04-08,245681,NA,13610
2017-04-09,249159,NA,9153
2017-04-10,246860,NA,7072
2017-04-11,242761,NA,6823
2017-04-12,238612,NA,6836
2017-04-13,234969,NA,6811
2017-04-14,234442,NA,7572
2017-04-15,234256,NA,6599
2017-04-16,233175,NA,6145
2017-04-17,232283,NA,6540
2017-04-18,241784,NA,11688
2017-04-19,255260,NA,13780
2017-04-20,260133,NA,9704
2017-04-21,261714,NA,8724
2017-04-22,264265,NA,9394
2017-04-23,267531,NA,9793
2017-04-24,270587,NA,10293
2017-04-25,269643,NA,8957
2017-04-26,266728,NA,8096
2017-04-27,264530,NA,8327
2017-04-28,263634,NA,8719
2017-04-29,262704,NA,8401
2017-04-30,261319,NA,8341
2017-05-01,261352,NA,9109
2017-05-02,265294,NA,10459
2017-05-03,271767,NA,11411
2017-05-04,281807,NA,13105
2017-05-05,294522,NA,14045
2017-05-06,306420,NA,13156
2017-05-07,310462,NA,9727
2017-05-08,311083,NA,8838
2017-05-09,313691,NA,9542
2017-05-10,317592,NA,9817
2017-05-11,324387,NA,11264
2017-05-12,333656,NA,12065
2017-05-13,338930,NA,9672
2017-05-14,NA,NA,NA
2017-05-15,340621,NA,7351
2017-05-16,340045,NA,7029
2017-05-17,338623,NA,6522
2017-05-18,337394,NA,6306
2017-05-19,338777,NA,7115
2017-05-20,341197,NA,7368
2017-05-21,347205,NA,9513
2017-05-22,353938,NA,10493
2017-05-23,363151,NA,12216
2017-05-24,372665,NA,12521
2017-05-25,381759,NA,12300
2017-05-26,388903,NA,11817
2017-05-27,393154,NA,10482
2017-05-28,398512,NA,12116
2017-05-29,402643,NA,12904
2017-05-30,405227,NA,13765
2017-05-31,407481,NA,14454
2017-06-01,406159,NA,12684
2017-06-02,406287,NA,13070
2017-06-03,410209,NA,14605
2017-06-04,416613,NA,16148
2017-06-05,422202,NA,16120
2017-06-06,424949,NA,14839
2017-06-07,428584,NA,15314
2017-06-08,431443,NA,14926
2017-06-09,432723,NA,13625
2017-06-10,436974,NA,14582
